ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Iniciativa,Tipo de Unidad Atacada,Grupo Armado 1,Descripción Grupo Armado 1,Grupo Armado 2,Descripción Grupo Armado 2,Grupo Armado 3,Descripción Grupo Armado 3,Lesionados Civiles,Grupo al que Pertenecen los Capturados,Capturados,Lesionados Combatientes,Militares,Policías,Otras Fuerzas Armadas Estatales,Agentes del Estado Sin Información,Total Agentes del Estado,Guerrilleros,Paramilitares,Grupos Posdesmovilización,Combatientes Sin Información,Otros Grupos Armados Organizados,Total Combatientes de Grupos Armados Organizados,Total Combatientes,Personas Sin Información,Total Civiles,Ventaja Militar,Total de Víctimas del Caso,latitud-longitud
1492,,1977,12,28,05045,APARTADO,ANTIOQUIA,URABA,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,GRUPOS ARMADOS ORGANIZADOS,2,POINT (-76.58236264 7.86047815)
14920,,2000,11,13,18150,CARTAGENA DEL CHAIRA,CAQUETA,CAGUAN,EMBOSCADA,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GRUPOS ARMADOS ORGANIZADOS,1,POINT (-74.27235499 0.647693081)
14921,CR005008,2000,11,14,19001,POPAYAN,CAUCA,MACIZO COLOMBIANO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,,,0,,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,FUERZAS ARMADAS ESTATALES,2,POINT (-76.59194419 2.471704362)
14922,,2000,11,14,86885,VILLAGARZON,PUTUMAYO,MEDIO PUTUMAYO,COMBATE Y/O CONTACTO ARMADO,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRUPOS ARMADOS ORGANIZADOS,0,POINT (-76.74495447 0.911149515)
14923,CR021180,2000,11,14,19001,POPAYAN,CAUCA,MACIZO COLOMBIANO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,,,0,,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,FUERZAS ARMADAS ESTATALES,2,POINT (-76.59194419 2.471704362)
14924,,2000,11,14,19807,TIMBIO,CAUCA,MACIZO COLOMBIANO,COMBATE Y/O CONTACTO ARMADO,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,,,0,,0,1,0,0,0,0,0,2,0,0,0,0,2,2,0,0,GRUPOS ARMADOS ORGANIZADOS,2,POINT (-76.71051932 2.369625312)
14925,,2000,11,14,52356,IPIALES,NARIÑO,SUR DE NARIÑO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FUERZAS ARMADAS ESTATALES,1,POINT (-77.24047625 0.497708465)
14926,,2000,11,14,70473,MORROA,SUCRE,MONTES DE MARIA,COMBATE Y/O CONTACTO ARMADO,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,AGENTE DEL ESTADO,INFANTERÍA DE MARINA,GUERRILLA,FARC,,,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRUPOS ARMADOS ORGANIZADOS,0,POINT (-75.32718744 9.392496685)
14927,,2000,11,14,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,COMBATE Y/O CONTACTO ARMADO,NINGUNO,SIN INFORMACIÓN,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0,ELN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-75.61103107 6.257590259)
14928,,2000,11,14,52001,PASTO,NARIÑO,CENTRO DE NARIÑO,COMBATE Y/O CONTACTO ARMADO,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,GRUPOS ARMADOS ORGANIZADOS,2,POINT (-77.20610074 1.083605497)
